260,219,709
254,744,148
804,278,847
426,712,873
442,687,808
52,622,54
960,268,807
728,501,557
908,50,180
690,133,86
342,380,132
75,181,134
990,80,637
199,551,908
437,386,585
75,252,455
630,732,478
910,267,119
838,313,92
591,139,549
64,36,331
113,113,437
562,791,711
44,623,854
171,736,981
129,919,282
394,306,103
422,976,992
239,163,898
347,68,741
415,70,755
534,655,789
858,210,575
685,828,354
969,802,651
815,314,445
422,696,147
530,833,513
682,343,503
64,303,146
493,926,435
255,832,47
562,103,984
149,788,114
491,649,600
653,768,634
312,758,542
538,492,589
685,22,589
274,484,529
335,520,510
225,589,745
469,491,169
374,221,33
528,126,566
973,300,24
894,74,645
823,506,15
328,541,547
712,825,511
709,490,803
941,37,254
909,655,418
291,24,24
621,759,835
85,794,464
911,636,794
837,597,801
272,441,157
574,820,677
46,663,257
410,130,858
864,168,436
461,997,193
24,711,489
707,502,316
348,315,181
774,333,916
544,184,931
310,417,880
990,367,574
659,85,511
580,899,935
448,534,824
366,109,235
763,50,991
593,652,25
79,35,9
349,67,310
731,518,770
478,676,14
338,505,885
39,13,109
178,976,685
479,591,792
131,40,893
741,795,762
598,386,678
849,538,952
443,818,378
974,252,91
918,234,980
530,499,988
459,81,951
592,869,562
760,775,977
674,350,683
134,757,991
132,143,556
399,440,339
211,167,800
926,300,133
485,377,401
910,269,623
504,205,913
285,848,567
401,153,986
590,306,662
857,173,995
685,357,681
933,1,741
379,970,751
924,50,725
338,372,385
782,216,424
593,686,531
938,825,602
551,450,133
40,257,513
606,208,482
514,280,225
792,792,261
26,927,714
994,391,258
257,54,961
779,16,340
974,366,866
257,849,943
933,962,716
563,184,70
676,107,310
496,514,477
586,816,339
729,35,690
397,732,883
976,622,55
335,495,523
241,511,620
782,712,720
980,988,298
720,892,355
740,414,236
29,685,372
745,625,958
763,546,183
183,491,659
789,503,5
466,971,85
231,163,646
132,111,584
331,471,832
892,638,783
874,285,857
233,581,824
358,855,294
850,420,655
409,15,937
987,579,900
891,97,716
403,831,199
465,959,363
370,422,180
384,137,932
852,618,871
590,967,706
440,922,285
447,142,174
725,322,287
50,971,170
83,901,802
570,800,421
682,68,464
132,261,594
191,816,43
80,100,600
292,385,722
74,323,251
215,482,457
43,370,412
60,802,872
111,786,687
594,705,207
153,567,522
254,726,723
403,953,497
729,10,174
291,921,85
709,899,724
314,586,943
806,208,788
631,242,367
711,712,66
813,430,290
299,335,434
588,787,645
889,200,575
108,354,153
642,59,12
502,992,222
573,237,339
567,939,600
10,887,486
396,242,215
256,88,251
942,766,216
748,886,540
47,362,760
419,853,319
155,762,828
335,257,704
414,599,472
86,972,551
959,501,991
394,570,878
625,274,179
916,685,540
884,8,758
631,377,886
770,305,267
396,272,298
255,786,633
105,291,810
343,289,662
395,929,320
296,864,584
819,296,647
855,419,91
548,142,866
94,23,493
888,573,82
775,731,127
320,290,985
422,942,318
800,900,974
95,968,607
322,220,946
368,756,240
999,545,661
591,250,163
221,675,129
949,824,871
586,692,201
456,571,880
549,774,544
379,779,562
934,7,14
674,1,465
118,365,443
994,875,272
495,763,980
948,436,933
34,948,431
868,173,703
890,145,117
86,590,394
74,597,438
129,934,211
261,190,304
759,407,91
436,48,907
114,508,711
368,72,329
757,288,345
393,767,592
341,921,547
223,466,28
652,838,243
3,631,285
681,317,555
389,342,213
939,200,92
495,460,562
619,229,650
161,116,178
172,539,512
976,771,503
729,991,968
953,493,972
497,515,432
969,989,868
740,352,751
865,37,397
139,212,444
649,562,519
115,45,936
366,357,970
893,481,481
202,856,953
958,353,269
416,300,213
941,687,354
541,804,646
588,666,870
952,982,718
577,928,779
320,735,875
602,496,280
807,70,961
521,289,549
486,556,518
721,940,956
880,806,552
601,635,847
94,522,518
595,682,532
35,929,773
948,111,929
139,343,629
298,156,167
241,660,920
906,821,361
633,807,448
601,658,731
582,22,44
777,266,66
57,207,792
43,373,159
140,19,632
948,572,943
551,99,191
804,631,222
312,389,875
138,764,154
292,896,494
857,664,892
276,293,880
406,581,919
476,72,262
283,990,330
571,228,315
951,288,217
28,134,517
584,128,450
906,780,857
391,730,23
985,782,723
910,509,273
107,959,327
182,997,368
880,468,606
662,850,250
302,989,526
849,189,210
447,170,376
863,580,770
387,340,207
313,756,7
899,921,319
518,686,275
84,489,169
583,438,121
523,965,906
325,689,489
874,95,615
224,526,52
13,708,644
158,44,927
684,772,111
65,955,429
66,16,680
401,968,473
898,854,35
342,746,107
849,990,334
166,40,528
23,210,380
117,92,578
452,93,851
954,312,466
926,703,959
8,142,427
352,950,435
